designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 5966504078672039424",5966504078672039424,253.47875528769674,-41.84986885271092,0.3153610687713635,-3.207624393591097,-2.8694406671655868,1.0070363,18.896149,2.1624508,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3725.4187,4.4539,-1.7741,621.6125,0.7839,0.5492,0.2967
"Gaia DR3 5966504078672041856",5966504078672041856,253.47277370284453,-41.85309969060095,-0.7054226173640313,1.1181811261418844,-1.5671840485650668,1.0719723,20.070673,2.9685688,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078672044928",5966504078672044928,253.47515060613293,-41.850246010235566,,,,,20.104425,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078672045056",5966504078672045056,253.4743926437505,-41.850445506318216,1.1111771355307227,0.04413357601053747,-2.5557569037886836,1.0721185,17.461546,2.000307,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4969.5244,4.7631,-1.494,555.7122,2.4579,1.8278,1.0082
"Gaia DR3 5966504078672045184",5966504078672045184,253.47539075515243,-41.85035075175922,-2.630216790104837,0.9995989793768352,-2.0389448950347946,1.2725741,19.691166,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078672046720",5966504078672046720,253.48035109306775,-41.847048363421244,1.045295354481777,-4.980511522906413,-3.339822010969035,1.0900353,19.133787,2.116043,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078672049536",5966504078672049536,253.47793421974143,-41.84795251195455,0.5752149381005477,-1.475275534716027,-1.7751780747602275,0.958275,18.914375,2.1439533,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3765.0386,4.9301,-1.1198,599.2482,0.7281,0.51,0.2767
"Gaia DR3 5966504078672050304",5966504078672050304,253.47279657276158,-41.85060313647691,0.42250725419001767,1.9488853992327093,0.6982166859896568,0.9988869,18.845749,2.0225754,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3605.5244,4.5264,-1.3858,577.7272,0.5267,0.366,0.1991
"Gaia DR3 5966504078672053632",5966504078672053632,253.47657319222233,-41.847606389371904,0.49234645671382843,-1.779289621782699,-4.473561979160069,1.0474006,18.265507,1.9323082,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4318.6177,4.8229,-1.5273,715.7178,1.3375,0.9766,0.5307
"Gaia DR3 5966504078672055936",5966504078672055936,253.47193972096804,-41.84992248541687,1.0304924684265404,-2.380886920228191,-2.4387291487142115,1.0112121,19.602428,2.8285885,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
